店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
博多前炉ばた 一承 福岡本店,050-5486-0697, ,福岡県,福岡市,博多区博多駅前2-20-1,,,False
おでん＆焼き鳥食べ放題 個室居酒屋 焼き鳥時代 新宿店,050-5489-5875, ,東京都,新宿区,歌舞伎町1-17-6,,https://gh1f206.gorp.jp/,True
個室居酒屋 神戸はな丸 神戸駅前店,050-5493-1118, ,兵庫県,神戸市,中央区多聞通3-3-1,,https://kdax404.gorp.jp/,True
梅田個室居酒屋 いろどり 大阪駅前店,050-5487-6853, ,大阪府,大阪市,北区梅田2-1-18,,https://kdax400.gorp.jp/,True
天ぷら 海鮮 個室居酒屋 天海 大曽根駅前店,050-5494-5700, ,愛知県,名古屋市,北区大曽根3-13-19,,https://n169661.gorp.jp/,True
完全個室居酒屋 虎白 東岡崎店,050-5494-1341, ,愛知県,岡崎市,明大寺本町3-5,,https://nbje974.gorp.jp/,True
海鮮食べ放題 海鮮酒場 きわみ 大宮店,050-5485-0337, ,埼玉県,さいたま市,大宮区大門町1-2,,https://gezw909.gorp.jp/,True
仙台牛タンと旨とろ馬刺し 完全個室居酒屋 福乃家 大宮店,050-5493-6086, ,埼玉県,さいたま市,大宮区仲町1-53,,https://gejr312.gorp.jp/,True
個室居酒屋 自家製手羽先＆食べ放題飲み放題 鍛冶町酒場 神田店,050-5492-2585, ,東京都,千代田区,鍛冶町2-12-12,,https://gjf3100.gorp.jp/,True
三陸海鮮と地元牧場のお肉 仙台海蔵 全席ドア付き個室,050-5485-6509, ,宮城県,仙台市,青葉区国分町2-1-22,,,False
夜景個室居酒屋 一水‐ISSUI‐ 恵比寿店,050-5487-5590, ,東京都,渋谷区,恵比寿西1-9-3,,https://issui-ebisu.gorp.jp/,True
痛風鍋 海鮮 日本酒 個室居酒屋 丸安水産 新宿店,050-5485-6394, ,東京都,新宿区,新宿3-35-9,,https://ggpb106.gorp.jp/,True
完全個室で鮮魚と和牛 和食処 福家‐FUKUYA‐ 新宿南口店,050-5494-6034, ,東京都,新宿区,西新宿1-18-5,,https://ggz9502.gorp.jp/,True
魚串・鮮魚・日本酒 魚徳,050-5487-8210, ,東京都,豊島区,東池袋1-13-12,,https://uotoku.gorp.jp/,True
三島個室居酒屋 いろどり 三島駅前店,050-5488-6881, ,静岡県,三島市,一番町13-13,,https://nbpy402.gorp.jp/,True
鶏三昧！地鶏食べ放題と個室居酒屋 串楽（くしらく）錦糸町本店,050-5485-3038, ,東京都,墨田区,錦糸2-3-9,,https://kushirakukinshicho.gorp.jp/,True
もつ焼き処 四代目 小山駅前店,050-5489-6084, ,栃木県,小山市,中央町3-6-10,,https://gg8z702.gorp.jp/,True
伊達マルシェ Le Lien ‐ルリアン‐,050-5492-4768, ,宮城県,仙台市,青葉区国分町2-2-23,,https://ta27601.gorp.jp/,True
全席個室 ウメ子の家 上野駅前店,050-2018-8922, ,東京都,台東区,上野4-10-5,,,False
全席個室 鮨と酒日和 ととうお 秋葉原駅前店,050-2018-8914, ,東京都,千代田区,神田佐久間町1-16,,https://gak5834.gorp.jp/,True
個室居酒屋 佐藤 NBF品川タワー店,050-5488-9849, ,東京都,港区,港南2-16-5,,https://ghjm106.gorp.jp/,True
全席個室 じぶんどき 丸の内センタービル店,050-2018-8901, ,東京都,千代田区,丸の内1-6-1,,https://gjgu600.gorp.jp/,True
中華料理 牡丹亭 浦和店,050-5492-2626, ,埼玉県,さいたま市,浦和区仲町1-5-17,,https://gjeh000.gorp.jp/,True
全席個室 じぶんどき博多筑紫口店,050-2018-8789, ,福岡県,福岡市,博多区博多駅中央街6-3,,,False
個室居酒屋 肉と日本酒 いぶり 神田店,050-5486-5875, ,東京都,千代田区,内神田3-12-10,,https://gb3m508.gorp.jp/,True
全席完全個室居酒屋 牛タンと和牛炉端焼き 吟の利久 新宿店,03-6635-4096, ,東京都,新宿区,西新宿1-18-13,,https://gh1u708.gorp.jp/,True
完全個室 大山地鶏専門店 初代鳥蔵 海浜幕張,050-5489-4886, ,千葉県,千葉市,美浜区ひび野1-9,,https://gh2x900.gorp.jp/,True
炙り炉端 山尾 博多駅前,050-1721-4038, ,福岡県,福岡市,博多区博多駅前3-22-5,,,False
完全個室 海鮮寿司酒場 銀しゃり 名駅西口店,050-5494-5287, ,愛知県,名古屋市,中村区椿町15-2,,https://n169656.gorp.jp/,True
